CRUISE,HAUL_NO,VESSEL,HAUL_DATE,CTD_INDEX,NET_IN_LAT,NET_IN_LONG,NET_IN_TIME,DOORS_IN_LAT,DOORS_IN_LONG,DOORS_IN_TIME,NET_FISHING_LAT,NET_FISHING_LONG,NET_FISHING_TIME,NET_BACK_LAT,NET_BACK_LONG,NET_BACK_TIME,NET_HEADROPE_DEPTH,DOORS_OUT_LAT,DOORS_OUT_LONG,DOORS_OUT_TIME,NET_OUT_LAT,NET_OUT_LONG,NET_OUT_TIME,WIRE_OUT,TDR_DEPTH,STATION,DEPTH_STRATA,SWEEP,BOTTOM_DEPTH,PROBLEM,STANDARD_STATION,WIND_DIRECTION,WIND_SPEED,BARO_PRESSURE,CLOUD_COVER,NOTES
1802,1,RL,5/8/18 21:37,3,3243.10,11811.45,5/8/18 21:37,3242.95,11812.11,5/8/18 21:50,3242.89,11812.49,5/8/18 21:54,3242.75,11813.20,5/8/18 22:09,32.8,3242.72,11813.33,5/8/18 22:12,3242.46,11813.98,5/8/18 22:30,,33,401,2,,600,2,1,,,1014.4,,
1802,2,RL,5/8/18 23:48,2,3243.44,11825.16,5/8/18 23:48,3243.24,11825.84,5/9/18 0:04,3243.14,11826.27,5/9/18 0:09,3242.92,11826.96,5/9/18 0:24,,3242.88,11827.06,5/9/18 0:26,3242.33,11827.97,5/9/18 0:51,,37,402,2,,600,0,1,,,1014.47,,
1802,3,RL,5/9/18 2:13,,3244.13,11843.03,5/9/18 2:13,3243.80,11843.53,5/9/18 2:28,3243.65,11843.75,5/9/18 2:31,3243.26,11844.28,5/9/18 2:46,35,3243.20,11844.35,5/9/18 2:49,3242.48,11845.02,5/9/18 3:12,,38,403,2,,1100,0,1,,,1013.71,,
1802,4,RL,5/9/18 5:06,1,3242.80,11902.35,5/9/18 5:06,3242.74,11901.92,5/9/18 5:13,3242.73,11901.62,5/9/18 5:17,3242.65,11900.77,5/9/18 5:32,,3242.63,11900.64,5/9/18 5:35,3242.65,11859.60,5/9/18 5:56,,39,404,2,,374,0,1,,,1012.86,,
1802,5,RL,5/9/18 20:38,7,3243.27,11718.40,5/9/18 20:38,3242.91,11718.97,5/9/18 20:53,3242.77,11719.21,5/9/18 20:57,3242.45,11719.71,5/9/18 21:12,35.5,3242.39,11719.79,5/9/18 21:15,3241.92,11720.31,5/9/18 21:32,,39,484,2,,88,0,1,,,1011.72,,
1802,6,RL,5/9/18 22:29,,3249.27,11724.12,5/9/18 22:29,3249.09,11724.64,5/9/18 22:42,3248.97,11724.87,5/9/18 22:45,3248.65,11725.36,5/9/18 23:00,34,3248.60,11725.43,5/9/18 23:03,3248.17,11725.98,5/9/18 23:18,,42,483,2,,215,2,1,,,1012.29,,
1802,7,RL,5/10/18 0:48,8,3256.69,11734.30,5/10/18 0:48,3256.40,11734.82,5/10/18 0:59,3256.26,11735.05,5/10/18 1:02,3255.93,11735.72,5/10/18 1:17,,3255.90,11735.81,5/10/18 1:20,3255.55,11736.91,5/10/18 1:40,,33,482,2,,215,0,1,,,1011.39,,
1802,8,RL,5/10/18 3:22,9,3301.83,11744.48,5/10/18 3:22,3301.70,11744.86,5/10/18 3:31,3301.60,11745.13,5/10/18 3:34,3301.37,11745.80,5/10/18 3:49,35.3,3301.35,11745.92,5/10/18 3:52,3301.14,11746.74,5/10/18 4:12,,39,481,2,,882,0,1,,,1010.44,,
1802,9,RL,5/11/18 3:43,15,3341.15,11915.74,5/11/18 3:43,3341.52,11916.67,5/11/18 3:58,3341.57,11916.84,5/11/18 3:59,3341.89,11917.70,5/11/18 4:14,,3341.93,11917.80,5/11/18 4:17,3342.30,11918.82,5/11/18 4:38,,34,411,2,,880,0,1,,,1009.03,,
1802,10,RL,5/11/18 20:36,23,3322.35,11943.91,5/11/18 20:36,3322.51,11944.57,5/11/18 20:47,3322.60,11944.90,5/11/18 20:51,3322.85,11945.59,5/11/18 21:06,,3322.91,11945.69,5/11/18 21:09,3323.38,11946.33,5/11/18 21:27,,33,414,2,,110,0,1,,,1009.64,,
1802,11,RL,5/11/18 22:45,20,3328.62,11934.96,5/11/18 22:45,3328.79,11935.48,5/11/18 22:56,3328.90,11935.77,5/11/18 23:00,3329.09,11936.41,5/11/18 23:15,,3329.12,11936.52,5/11/18 23:17,3329.23,11937.28,5/11/18 23:33,,38,413,2,,790,0,1,,,1011.01,,
1802,12,RL,5/12/18 0:55,18,3334.63,11925.62,5/12/18 0:55,3334.83,11926.08,5/12/18 1:03,3334.97,11926.41,5/12/18 1:07,3335.32,11927.16,5/12/18 1:22,31.4,3335.38,11927.27,5/12/18 1:25,3335.84,11928.30,5/12/18 1:43,,35,412,2,,1849,0,1,,,1011.01,,
1802,13,RL,5/12/18 3:05,24,3340.85,11915.76,5/12/18 3:05,3341.07,11916.25,5/12/18 3:13,3341.20,11916.53,5/12/18 3:17,3341.62,11917.29,5/12/18 3:32,,3341.69,11917.40,5/12/18 3:34,3342.37,11918.26,5/12/18 3:55,,35,411,2,,890,0,1,,,1011.13,,
1802,14,RL,5/12/18 21:13,30,3418.75,12016.38,5/12/18 21:13,3418.86,12017.08,5/12/18 21:24,3418.92,12017.42,5/12/18 21:27,3419.11,12018.44,5/12/18 21:42,,3419.14,12018.62,5/12/18 21:45,3419.31,12019.73,5/12/18 22:00,,35,422,2,,380,2,1,,,1014.68,,
1802,15,RL,5/12/18 23:15,31,3410.25,12026.57,5/12/18 23:15,3410.35,12026.88,5/12/18 23:24,3410.43,12027.14,5/12/18 23:29,3410.54,12027.51,5/12/18 23:41,38.6,3410.55,12027.56,5/12/18 23:43,3410.80,12028.21,5/13/18 0:01,,40,423,2,,120,0,1,,,1015.41,,
1802,16,RL,5/13/18 1:28,28,3403.54,12032.74,5/13/18 1:28,3403.79,12032.97,5/13/18 1:36,3403.99,12033.19,5/13/18 1:40,3404.45,12033.59,5/13/18 1:55,,3404.50,12033.63,5/13/18 1:57,3405.08,12034.25,5/13/18 2:15,,39,424,2,,159,0,1,,,1015.39,,
1802,17,RL,5/13/18 4:05,32,3354.58,12041.96,5/13/18 4:05,3354.80,12042.28,5/13/18 4:12,3354.99,12042.58,5/13/18 4:16,3355.40,12043.21,5/13/18 4:31,31,3355.46,12043.31,5/13/18 4:34,3356.05,12044.24,5/13/18 4:55,,37,425,2,,1825,0,1,,,1015.04,,
1802,18,RL,5/13/18 21:28,36,3542.94,12122.92,5/13/18 21:28,3543.25,12123.45,5/13/18 21:37,3543.43,12123.81,5/13/18 21:41,3543.74,12124.61,5/13/18 21:56,31.2,3543.78,12124.73,5/13/18 21:59,3544.19,12125.92,5/13/18 22:19,,36,441,2,,80,0,1,,,1015.39,,
1802,19,RL,5/13/18 23:30,37,3541.62,12128.94,5/13/18 23:30,3541.69,12129.26,5/13/18 23:38,3541.76,12129.50,5/13/18 23:41,3541.91,12130.23,5/13/18 23:56,,3541.92,12130.30,5/13/18 23:57,3542.21,12131.47,5/14/18 0:18,,40,443,2,,564,0,1,,,1015.45,,
1802,20,RL,5/14/18 1:33,38,3542.00,12140.89,5/14/18 1:33,3542.13,12141.18,5/14/18 1:40,3542.22,12141.47,5/14/18 1:44,3542.42,12142.21,5/14/18 1:59,31.7,3542.45,12142.31,5/14/18 2:01,3542.82,12143.47,5/14/18 2:20,,38,444,2,,883,0,1,,,1015.22,,
1802,21,RL,5/14/18 3:27,39,3542.11,12150.59,5/14/18 3:27,3542.22,12151.08,5/14/18 3:35,3542.32,12151.44,5/14/18 3:38,3542.51,12152.30,5/14/18 3:53,,3542.53,12152.41,5/14/18 3:56,3543.15,12154.23,5/14/18 4:29,,36,445,2,,1051,0,1,,,1014.93,,
1802,22,RL,5/14/18 21:18,45,3640.96,12205.15,5/14/18 21:18,3641.74,12205.71,5/14/18 21:35,3642.00,12205.91,5/14/18 21:39,3642.22,12206.07,5/14/18 21:44,,3642.33,12206.13,5/14/18 21:47,3643.04,12206.58,5/14/18 22:02,,33,117,2,,1890,0,1,,,1015.26,,
1802,23,RL,5/14/18 23:23,46,3636.01,12202.76,5/14/18 23:23,3636.14,12202.96,5/14/18 23:27,3636.25,12203.14,5/14/18 23:30,3636.39,12203.33,5/14/18 23:35,,3636.44,12203.41,5/14/18 23:38,3637.08,12203.99,5/14/18 23:56,,39,109,2,,557,0,1,,,1015.97,,
1802,24,RL,5/15/18 1:00,,3634.11,12208.88,5/15/18 1:00,3634.47,12209.52,5/15/18 1:17,3634.60,12209.75,5/15/18 1:20,3634.99,12210.34,5/15/18 1:35,34.8,3635.04,12210.42,5/15/18 1:38,3635.51,12211.24,5/15/18 1:59,,39,110,2,,2353,0,1,,,1015.94,,
1802,25,RL,5/15/18 3:24,47,3634.13,12229.20,5/15/18 3:24,3634.37,12229.57,5/15/18 3:33,3634.50,12229.79,5/15/18 3:36,3634.83,12230.27,5/15/18 3:51,,3634.87,12230.32,5/15/18 3:53,3635.33,12230.83,5/15/18 4:15,,39,212,2,,2400,0,1,,,1015.33,,
1802,26,RL,5/15/18 21:26,56,3651.12,12157.84,5/15/18 21:26,3651.12,12158.63,5/15/18 21:42,3651.14,12158.90,5/15/18 21:45,3651.14,12159.15,5/15/18 21:50,30.4,3651.14,12159.26,5/15/18 21:53,3651.20,12200.14,5/15/18 22:12,,36,119,2,,92,0,1,,,1017.42,,
1802,27,RL,5/15/18 23:46,,3644.89,12152.05,5/15/18 23:46,3645.13,12152.42,5/15/18 23:54,3645.28,12152.63,5/15/18 23:57,3645.41,12152.83,5/16/18 0:02,35.2,3645.46,12152.90,5/16/18 0:05,3646.00,12153.62,5/16/18 0:22,,41,114,2,,73,0,1,,,1017.5,,
1802,28,RL,5/16/18 0:51,,3643.50,12157.35,5/16/18 0:51,3643.51,12157.74,5/16/18 0:58,3643.53,12158.01,5/16/18 1:01,3643.55,12158.28,5/16/18 1:06,,3643.56,12158.38,5/16/18 1:08,3643.56,12159.23,5/16/18 1:27,,30,116,2,,300,0,1,,,1017.63,,
1802,29,RL,5/16/18 2:05,,3641.98,12153.81,5/16/18 2:05,3642.00,12154.21,5/16/18 2:12,3642.01,12154.50,5/16/18 2:15,3642.02,12154.76,5/16/18 2:21,29.8,3642.03,12154.85,5/16/18 2:23,3642.04,12155.85,5/16/18 2:44,,34,115,2,,100,0,1,,,1017.21,,
1802,30,RL,5/16/18 3:35,57,3639.51,12201.64,5/16/18 3:35,3639.42,12202.17,5/16/18 3:44,3639.39,12202.37,5/16/18 3:46,3639.34,12202.61,5/16/18 3:51,,3639.32,12202.72,5/16/18 3:53,3639.09,12203.53,5/16/18 4:12,,39,113,2,,74,0,1,,,1017.2,,
1802,31,RL,5/16/18 21:28,66,3715.35,12232.86,5/16/18 21:28,3715.70,12233.24,5/16/18 21:39,3715.93,12233.45,5/16/18 21:43,3716.08,12233.60,5/16/18 21:48,36.5,3716.14,12233.68,5/16/18 21:51,3716.43,12234.22,5/16/18 22:07,,41,131,2,,82,0,1,,,1018.22,,
1802,32,RL,5/16/18 22:32,65,3715.64,12237.66,5/16/18 22:32,3715.72,12238.23,5/16/18 22:41,3715.78,12238.57,5/16/18 22:45,3715.85,12239.37,5/16/18 23:00,,3715.85,12239.51,5/16/18 23:02,3715.82,12240.17,5/16/18 23:15,,35,132,2,,95,0,1,,,1018.55,,
1802,33,RL,5/16/18 23:59,,3716.45,12247.21,5/16/18 23:59,3716.38,12247.67,5/17/18 0:06,3716.36,12247.93,5/17/18 0:09,3716.25,12248.74,5/17/18 0:24,,3716.24,12248.84,5/17/18 0:27,3716.02,12249.68,5/17/18 0:43,,37,133,2,,509,0,1,,,1018.07,,
1802,34,RL,5/17/18 1:24,67,3716.82,12257.17,5/17/18 1:24,3716.82,12258.02,5/17/18 1:40,3716.98,12258.26,5/17/18 1:43,3717.36,12259.00,5/17/18 1:58,31.4,3717.39,12259.07,5/17/18 2:00,3718.00,12259.85,5/17/18 2:19,,37,134,2,,515,0,1,,,1017.89,,
1802,35,RL,5/17/18 3:41,68,3715.73,12307.27,5/17/18 3:41,3715.80,12307.70,5/17/18 3:48,3715.89,12307.94,5/17/18 3:51,3716.20,12308.58,5/17/18 4:06,,3716.25,12308.67,5/17/18 4:09,3716.54,12309.50,5/17/18 4:27,,36,135,2,,1345,0,1,,,1017.14,,
1802,36,RL,5/17/18 21:29,71,3738.36,12300.92,5/17/18 21:29,3738.61,12301.34,5/17/18 21:41,3738.77,12301.58,5/17/18 21:44,3739.11,12302.14,5/17/18 21:59,,3739.15,12302.20,5/17/18 22:01,3739.23,12302.83,5/17/18 22:16,,42,152,2,,108,0,1,,,1016.1,,
1802,37,RL,5/17/18 23:07,,3738.41,12310.82,5/17/18 23:07,3738.58,12311.22,5/17/18 23:17,3738.70,12311.43,5/17/18 23:21,3738.90,12311.89,5/17/18 23:36,,3738.92,12311.95,5/17/18 23:38,3739.28,12313.12,5/18/18 0:11,,45,154,2,,1322,0,1,,,1016.22,,
1802,38,RL,5/18/18 1:13,,3743.63,12307.12,5/18/18 1:13,3743.72,12307.44,5/18/18 1:20,3743.85,12307.72,5/18/18 1:25,3744.07,12308.40,5/18/18 1:40,30.8,3744.09,12308.48,5/18/18 1:42,3744.40,12309.29,5/18/18 1:59,,38,156,2,,86,0,1,,,1015.47,,
1802,39,RL,5/18/18 3:06,72,3751.98,12317.88,5/18/18 3:06,3752.08,12318.28,5/18/18 3:14,3752.14,12318.43,5/18/18 3:16,3752.35,12319.22,5/18/18 3:31,,3752.38,12319.33,5/18/18 3:33,3752.96,12319.71,5/18/18 3:54,,33,160,2,,100,0,1,,,1014.85,,
1802,40,RL,5/18/18 21:45,75,3949.37,12355.38,5/18/18 21:45,3949.66,12355.85,5/18/18 21:54,3949.81,12356.14,5/18/18 21:57,3950.34,12356.87,5/18/18 22:12,24.7,3950.43,12356.99,5/18/18 22:15,3951.25,12358.14,5/18/18 22:37,,34,471,2,,70,0,1,,,1014.51,,
1802,41,RL,5/18/18 23:21,74,3949.56,12405.05,5/18/18 23:21,3949.70,12405.50,5/18/18 23:29,3949.77,12405.70,5/18/18 23:32,3949.85,12406.31,5/18/18 23:47,31.6,3949.85,12406.37,5/18/18 23:49,3949.92,12406.96,5/19/18 0:06,,38,473,2,,240,0,1,,,1014.89,,
1802,42,RL,5/19/18 1:44,,3949.85,12422.44,5/19/18 1:44,3950.06,12422.66,5/19/18 1:51,3950.23,12422.80,5/19/18 1:54,3950.38,12422.91,5/19/18 1:59,,3950.44,12422.94,5/19/18 2:02,3951.07,12423.31,5/19/18 2:24,,35,474,2,,1668,0,1,,,1014.9,,
1802,43,RL,5/19/18 4:00,76,3949.62,12442.17,5/19/18 4:00,3949.89,12442.53,5/19/18 4:08,3950.21,12442.78,5/19/18 4:13,3950.38,12442.93,5/19/18 4:18,,3950.46,12442.99,5/19/18 4:21,3951.48,12443.01,5/19/18 4:48,,40,475,2,,1350,0,1,,,1014.95,,
1802,44,RL,5/19/18 21:52,83,4059.48,12416.63,5/19/18 21:52,4059.02,12416.34,5/19/18 22:03,4058.82,12416.20,5/19/18 22:06,4058.23,12415.89,5/19/18 22:21,25.4,4058.13,12415.85,5/19/18 22:24,4056.95,12415.85,5/19/18 22:51,,40,611,2,,76,0,1,,,1016.93,,
1802,45,RL,5/19/18 23:59,81,4058.70,12429.37,5/19/18 23:59,4059.03,12429.58,5/20/18 0:07,4059.27,12429.73,5/20/18 0:11,4059.86,12430.09,5/20/18 0:26,,4059.94,12430.14,5/20/18 0:28,4100.66,12430.65,5/20/18 0:47,,37,613,2,,513,0,1,,,1016.66,,
1802,46,RL,5/20/18 1:55,,4058.52,12441.89,5/20/18 1:55,4058.85,12442.12,5/20/18 2:02,4059.05,12442.26,5/20/18 2:06,4059.58,12442.75,5/20/18 2:21,,4059.64,12442.82,5/20/18 2:23,4100.34,12443.52,5/20/18 2:44,,37,615,2,,749,0,1,,,1016.34,,
1802,47,RL,5/20/18 3:47,84,4058.72,12455.20,5/20/18 3:47,4059.15,12455.60,5/20/18 3:55,4059.40,12455.80,5/20/18 3:58,4100.04,12456.35,5/20/18 4:13,28.3,4100.12,12456.41,5/20/18 4:15,4101.33,12457.49,5/20/18 4:39,,33,617,2,,2802,0,1,,,1016.2,,
1802,48,RL,5/20/18 21:59,92,4128.87,12416.41,5/20/18 21:59,4129.15,12416.63,5/20/18 22:07,4129.33,12416.78,5/20/18 22:10,4129.77,12417.16,5/20/18 22:25,32.2,4129.83,12417.21,5/20/18 22:27,4130.33,12417.22,5/20/18 22:43,,37,621,2,,65,0,1,,,1016.27,,
1802,49,RL,5/20/18 23:21,91,4129.34,12421.17,5/20/18 23:21,4129.52,12421.35,5/20/18 23:27,4129.65,12421.45,5/20/18 23:30,4130.03,12421.80,5/20/18 23:45,,4130.08,12421.84,5/20/18 23:47,4130.62,12422.22,5/21/18 0:06,,37,622,2,,94,0,1,,,1015.61,,
1802,50,RL,5/21/18 0:55,90,4129.08,12427.94,5/21/18 0:55,4129.33,12428.17,5/21/18 1:03,4129.54,12428.31,5/21/18 1:06,4130.02,12428.74,5/21/18 1:21,29.7,4130.07,12428.80,5/21/18 1:23,4130.74,12429.47,5/21/18 1:44,,37,623,2,,169,0,1,,,1015.16,,
1802,51,RL,5/21/18 2:48,89,4129.18,12441.55,5/21/18 2:48,4129.48,12441.63,5/21/18 2:55,4129.59,12441.66,5/21/18 2:57,4130.25,12441.86,5/21/18 3:12,,4130.33,12441.89,5/21/18 3:14,4131.14,12442.11,5/21/18 3:33,,38,625,2,,945,0,1,,,1014.47,,
1802,52,RL,5/22/18 0:33,93,4029.84,12432.55,5/22/18 0:33,4030.28,12432.67,5/22/18 0:47,4030.39,12432.68,5/22/18 0:49,4030.59,12432.74,5/22/18 0:54,,4030.65,12432.76,5/22/18 0:56,4031.31,12432.70,5/22/18 1:11,,30,601,2,,67,0,1,,,1012.74,,
1802,53,RL,5/22/18 1:50,,4028.74,12432.44,5/22/18 1:50,4029.05,12432.51,5/22/18 1:59,4029.25,12432.57,5/22/18 2:02,4029.76,12432.69,5/22/18 2:17,27.8,4029.81,12432.70,5/22/18 2:20,4030.33,12432.80,5/22/18 2:36,,37,601,2,,67,0,1,,,1012.3,,
1802,54,RL,5/22/18 3:23,,4028.69,12437.25,5/22/18 3:23,4029.22,12437.32,5/22/18 3:57,4029.41,12437.38,5/22/18 4:01,4029.74,12437.54,5/22/18 4:16,,4029.77,12437.56,5/22/18 4:18,4030.11,12437.46,5/22/18 4:37,,41,602,2,,185,0,1,,,1011.85,,
1802,55,RL,5/22/18 21:34,98,3907.27,12346.53,5/22/18 21:34,3907.57,12346.79,5/22/18 21:41,3907.78,12346.97,5/22/18 21:45,3908.34,12347.48,5/22/18 22:00,32,3908.43,12347.57,5/22/18 22:02,3908.94,12348.05,5/22/18 22:17,,36,461,2,,80,0,1,,,1011.32,,
1802,56,RL,5/22/18 23:30,97,3907.16,12359.61,5/22/18 23:30,3907.26,12359.93,5/22/18 23:37,3907.38,12400.23,5/22/18 23:42,3907.44,12400.80,5/22/18 23:57,,3907.43,12400.85,5/22/18 23:58,3907.43,12401.54,5/23/18 0:16,,44,463,2,,284,0,1,,,1011.02,,
1802,57,RL,5/23/18 1:44,,3907.40,12418.21,5/23/18 1:44,3907.53,12418.55,5/23/18 1:51,3907.65,12418.76,5/23/18 1:54,3907.93,12419.48,5/23/18 2:09,29.7,3907.96,12419.56,5/23/18 2:11,3908.29,12420.57,5/23/18 2:29,,39,464,2,,2145,0,1,,,1010.47,,
1802,58,RL,5/23/18 3:47,99,3907.34,12434.88,5/23/18 3:47,3907.50,12435.30,5/23/18 3:54,3907.65,12435.54,5/23/18 3:58,3908.03,12436.12,5/23/18 4:13,30.8,3908.06,12436.19,5/23/18 4:15,3908.84,12436.97,5/23/18 4:40,,37,465,2,,3333,0,1,,,1011.48,,
1802,59,RL,5/23/18 21:34,106,3827.22,12313.39,5/23/18 21:34,3827.38,12313.81,5/23/18 21:41,3827.44,12313.95,5/23/18 21:43,3827.53,12314.21,5/23/18 21:48,12.2,3827.56,12314.28,5/23/18 21:49,3827.81,12315.06,5/23/18 22:02,,17,183,1,,65,0,1,,,1015.29,,
1802,60,RL,5/23/18 22:50,105,3827.65,12322.39,5/23/18 22:50,3827.48,12322.80,5/23/18 22:57,3827.38,12323.22,5/23/18 23:02,3826.65,12323.77,5/23/18 23:17,20.5,3826.48,12323.79,5/23/18 23:20,3825.38,12324.04,5/23/18 23:37,,33,453,2,,115,0,1,,,1015.39,,
1802,61,RL,5/24/18 1:11,104,3826.66,12341.76,5/24/18 1:11,3826.94,12342.04,5/24/18 1:19,3827.16,12342.26,5/24/18 1:23,3827.70,12342.77,5/24/18 1:38,28,3827.76,12342.82,5/24/18 1:40,3828.46,12343.54,5/24/18 1:58,,32,454,2,,800,0,1,,,1015.52,,
1802,62,RL,5/24/18 3:35,107,3827.47,12402.39,5/24/18 3:35,3827.80,12402.73,5/24/18 3:43,3828.03,12402.96,5/24/18 3:47,3828.59,12403.51,5/24/18 4:02,28.9,3828.65,12403.57,5/24/18 4:04,3829.59,12404.65,5/24/18 4:30,,34,455,2,,3356,0,1,,,1015.51,,
1802,63,RL,5/24/18 21:36,115,3734.56,12249.42,5/24/18 21:36,3734.81,12249.70,5/24/18 21:44,3734.90,12249.81,5/24/18 21:46,3735.04,12249.97,5/24/18 21:51,,3735.09,12250.01,5/24/18 21:53,3735.56,12250.54,5/24/18 22:10,,15,237,1,,72,0,1,,,1017.79,,
1802,64,RL,5/24/18 22:31,115,3734.65,12249.66,5/24/18 22:31,3734.88,12249.95,5/24/18 22:39,3734.97,12250.08,5/24/18 22:41,3735.35,12250.57,5/24/18 22:56,,3735.38,12250.62,5/24/18 22:58,3735.78,12251.08,5/24/18 23:12,,21,237,1,,72,0,1,,,1017.93,,
1802,65,RL,5/25/18 3:37,113,3747.11,12251.20,5/25/18 3:37,3747.32,12251.58,5/25/18 3:45,3747.40,12251.75,5/25/18 3:47,3747.52,12251.95,5/25/18 3:52,8.1,3747.55,12251.99,5/25/18 3:54,3748.32,12252.99,5/25/18 4:24,,12,139,1,,55,3,0,,,1016.97,,Big bag of Chrysaora fuscescens dumped down ramp
1802,66,RL,5/25/18 21:33,121,3810.06,12300.37,5/25/18 21:33,3810.30,12300.74,5/25/18 21:41,3810.38,12300.87,5/25/18 21:42,3810.51,12301.08,5/25/18 21:47,4.4,3810.54,12301.13,5/25/18 21:49,3810.86,12301.66,5/25/18 22:02,,18,165,1,,60,0,1,,,1018.94,,
1802,67,RL,5/25/18 22:54,,3809.91,12309.67,5/25/18 22:54,3810.04,12309.84,5/25/18 23:03,3810.17,12310.11,5/25/18 23:08,3810.29,12310.53,5/25/18 23:23,,3810.29,12310.57,5/25/18 23:25,3809.04,12311.02,5/25/18 23:47,,46,167,2,,94.6,0,1,,,1018.67,,
1802,68,RL,5/26/18 0:31,,3809.66,12317.42,5/26/18 0:31,3809.73,12317.62,5/26/18 0:37,3809.82,12317.77,5/26/18 0:40,3809.96,12318.18,5/26/18 0:55,,3809.97,12318.21,5/26/18 0:56,3809.95,12318.82,5/26/18 1:16,,40,168,2,,130,0,1,,,1018.23,,
1802,69,RL,5/26/18 2:14,,3808.71,12327.96,5/26/18 2:14,3808.79,12328.21,5/26/18 2:21,3808.88,12328.41,5/26/18 2:24,3808.99,12329.01,5/26/18 2:39,27.6,3809.00,12329.09,5/26/18 2:41,3809.24,12329.90,5/26/18 3:06,,37,171,2,,380,0,1,,,1017.68,,
